Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
4000104;56869;Aves;fåglar;Klass;89653140;;;
3000279;56870;Anseriformes;andfåglar;Ordning;13854032;;;
2002065;56871;Anatidae;änder;Familj;13853770;;;
1008689;56872;Oxyura;kopparänder;Släkte;138;;;
233178;56873;Oxyura leucocephala;kopparand;Art;0;;NA;
233177;56874;Oxyura jamaicensis;amerikansk kopparand;Art;136;Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse;NA;
6332424;56875;Oxyura jamaicensis ferruginea;andinsk kopparand;Underart;0;;NA;
233889;56876;Oxyura jamaicensis jamaicensis;nordlig amerikansk kopparand;Underart;0;;NA;
1016771;56877;Anserinae;gäss och svanar;Underfamilj;5093841;;;
1001442;56878;Cygnus;svanar;Släkte;1973319;;;
102927;56879;Cygnus olor;knölsvan;Art;840752;Brackvatten (B) - Stor betydelse, Havsstrand (H) - Stor betydelse, Marin miljö (M) - Stor betydelse, Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
234080;56880;Cygnus atratus;svart svan;Art;1278;Sötvatten (L) - Stor betydelse;NA;
102610;56881;Cygnus columbianus;mindre sångsvan;Art;53320;Brackvatten (B) - Har betydelse, Havsstrand (H) - Har betydelse, Jordbrukslandskap (J) - Har betydelse;NA;
205923;56882;Cygnus columbianus columbianus;tundrasvan;Underart;23;;NA;
205922;56883;Cygnus columbianus bewickii;vanlig mindre sångsvan;Underart;184;;NA;
233835;56884;Cygnus columbianus bewickii;mindre sångsvan;Underart;0;;;
233836;56885;Cygnus columbianus columbianus;tundrasvan;Underart;0;;;
100045;56886;Cygnus cygnus;sångsvan;Art;1075059;Jordbrukslandskap (J) - Stor betydelse, Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse, Brackvatten (B) - Har betydelse, Havsstrand (H) - Har betydelse, Marin miljö (M) - Har betydelse;LC;
266223;56887;Cygnus cygnus x olor;sångsvan x knölsvan;Hybrid;51;;NA;
266222;56888;Cygnus columbianus/cygnus;mindre sångsvan/sångsvan;Artkomplex;1128659;;NA;
1001444;56889;Branta;brantagäss;Släkte;1417211;;;
103059;56890;Branta bernicla;prutgås;Art;100608;Havsstrand (H) - Stor betydelse;NA;
205927;56891;Branta bernicla nigricans;svartbukig prutgås;Underart;260;;NA;
233838;56892;Branta bernicla bernicla;mörkbukig prutgås;Underart;2572;;NA;
205926;56893;Branta bernicla hrota;ljusbukig prutgås;Underart;1548;;NA;
266742;56894;Branta bernicla bernicla x hrota;mörkbukig prutgås x ljusbukig prutgås;Hybrid;4;;NA;
232269;56895;Branta ruficollis;rödhalsad gås;Art;2416;;NA;
102929;56896;Branta canadensis;kanadagås;Art;833117;Jordbrukslandskap (J) - Stor betydelse, Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse, Brackvatten (B) - Har betydelse, Havsstrand (H) - Har betydelse, Marin miljö (M) - Har betydelse, Urban miljö (U) - Har betydelse;NA;
233881;56897;Branta canadensis canadensis;östlig kanadagås;Underart;4;;NE;
100019;56898;Branta leucopsis;vitkindad gås;Art;481826;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Brackvatten (B) - Har betydelse, Sötvatten (L) - Har betydelse, Våtmark (V) - Har betydelse;LC;
233816;56899;Branta hutchinsii;polargås;Art;285;Sötvatten (L) - Stor betydelse;NA;
266746;56900;Branta hutchinsii hutchinsii;nunavutpolargås;Underart;22;;NA;
266744;56901;Branta hutchinsii minima;polargås, underarten minima;Underart;83;;NA;
266745;56902;Branta hutchinsii taverneri;polargås, underarten taverneri;Underart;2;;NA;
266743;56903;Branta leucopsis x bernicla;vitkindad gås x prutgås;Hybrid;40;;NA;
266747;56904;Branta leucopsis x ruficollis;vitkindad gås x rödhalsad gås;Hybrid;46;;NA;
267114;56905;Branta leucopsis x canadensis;vitkindad gås x kanadagås;Hybrid;1687;;NA;
6007921;56906;Branta hutchinsii x leucopsis;polargås x vitkindad gås;Hybrid;35;;NA;
1001443;56907;Anser;;Släkte;1727498;;;
233813;56908;Anser indicus;stripgås;Art;6125;Sötvatten (L) - Stor betydelse;NA;
233815;56909;Anser canagicus;kejsargås;Art;56;Sötvatten (L) - Stor betydelse;NA;
233777;56910;Anser rossii;dvärgsnögås;Art;134;Sötvatten (L) - Stor betydelse;NA;
233778;56911;Anser caerulescens;snögås;Art;2921;Sötvatten (L) - Stor betydelse;NA;
267296;56912;Anser caerulescens, blue morph;blågås;Morfotyp;203;;NA;
267295;56913;Anser caerulescens, white morph;snögås, vit morf;Morfotyp;442;;NA;
233879;56914;Anser caerulescens caerulescens;snögås, underarten caerulescens;Underart;0;;NA;
102928;56915;Anser anser;grågås;Art;1100360;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse, Brackvatten (B) - Har betydelse, Marin miljö (M) - Har betydelse, Sötvatten (L) - Har betydelse;LC;
233880;56916;Anser anser anser;västlig grågås;Underart;824;;NE;
266232;56917;Anser anser rubrirostris;grågås, underarten rubrirostris;Underart;3;;NA;
233814;56918;Anser cygnoides;svangås;Art;125;Sötvatten (L) - Stor betydelse;NA;
100008;56919;Anser erythropus;fjällgås;Art;20911;Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse;EN;D
103058;56920;Anser albifrons;bläsgås;Art;213371;Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse;NA;
205925;56921;Anser albifrons flavirostris;grönlandsbläsgås;Underart;96;;NA;
233837;56922;Anser albifrons albifrons;rysk bläsgås;Underart;1421;;NA;
205924;56923;Anser serrirostris;tundragås;Art;19412;;NA;
6332426;56924;Anser serrirostris rossicus;västlig tundragås;Underart;2;;NA;
232268;56925;Anser brachyrhynchus;spetsbergsgås;Art;86610;Jordbrukslandskap (J) - Stor betydelse, Sötvatten (L) - Har betydelse, Våtmark (V) - Har betydelse;NA;
232125;56926;Anser fabalis;skogsgås;Art;32952;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;VU;C1
6332425;56927;Anser fabalis fabalis;västlig skogsgås;Underart;13;;NE;
