Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
100045;56886;Cygnus cygnus;sångsvan;Art;1075059;Jordbrukslandskap (J) - Stor betydelse, Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse, Brackvatten (B) - Har betydelse, Havsstrand (H) - Har betydelse, Marin miljö (M) - Har betydelse;LC;
100009;56946;Anser fabalis/serrirostris;sädgås;Kollektivtaxon;236447;Jordbrukslandskap (J) - Stor betydelse, Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse, Havsstrand (H) - Har betydelse, Skog (S) - Har betydelse;NA;
100079;57010;Mergellus albellus;salskrake;Art;269071;Brackvatten (B) - Stor betydelse, Skog (S) - Stor betydelse, Sötvatten (L) - Stor betydelse, Marin miljö (M) - Har betydelse, Våtmark (V) - Har betydelse;LC;
100006;57065;Anas acuta;stjärtand;Art;247042;Brackvatten (B) - Stor betydelse, Havsstrand (H) - Stor betydelse, Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse;EN;C1
102612;57093;Tetrastes bonasia;järpe;Art;60495;Skog (S) - Stor betydelse;LC;
100138;57102;Tetrao urogallus;tjäder;Art;104737;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
102613;57105;Lyrurus tetrix;orre;Art;148447;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
102973;57180;Cuculus canorus;gök;Art;333841;Skog (S) - Stor betydelse, Fjäll (F) - Har betydelse, Jordbrukslandskap (J) - Har betydelse, Våtmark (V) - Har betydelse;LC;
100038;57208;Columba oenas;skogsduva;Art;330105;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;LC;
100065;57219;Grus grus;trana;Art;811707;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse;LC;
102961;57330;Actitis hypoleucos;drillsnäppa;Art;364202;Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;A2abce
100063;57563;Gavia stellata;smålom;Art;201594;Brackvatten (B) - Stor betydelse, Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse, Marin miljö (M) - Har betydelse;LC;
102118;57715;Caprimulgus europaeus;nattskärra;Art;78370;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Våtmark (V) - Har betydelse;LC;
102976;57735;Apus apus;tornseglare;Art;420643;Urban miljö (U) - Stor betydelse, Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Skog (S) - Har betydelse;VU;A2abc
102622;57746;Aegolius funereus;pärluggla;Art;58790;Skog (S) - Stor betydelse;EN;A2abc
102620;57752;Surnia ulula;hökuggla;Art;21173;Skog (S) - Stor betydelse, Våtmark (V) - Har betydelse;VU;C1
102621;57755;Glaucidium passerinum;sparvuggla;Art;70524;Skog (S) - Stor betydelse;NT;A2ab
102117;57761;Asio flammeus;jorduggla;Art;50472;Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse;NT;A2abc
100020;57767;Bubo bubo;berguv;Art;10006;Havsstrand (H) - Stor betydelse, Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse, Våtmark (V) - Har betydelse;VU;D1
100137;57772;Strix uralensis;slaguggla;Art;12769;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
100136;57774;Strix nebulosa;lappuggla;Art;9149;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Våtmark (V) - Har betydelse;VU;D1
100096;57786;Pandion haliaetus;fiskgjuse;Art;367537;Skog (S) - Stor betydelse, Sötvatten (L) - Stor betydelse, Brackvatten (B) - Har betydelse, Marin miljö (M) - Har betydelse;LC;
100100;57799;Pernis apivorus;bivråk;Art;146954;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Våtmark (V) - Har betydelse;NT;A2abcde
100011;57825;Aquila chrysaetos;kungsörn;Art;101271;Fjäll (F) - Stor betydelse, Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Våtmark (V) - Har betydelse;NT;D1
100034;57840;Circus cyaneus;blå kärrhök;Art;260847;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse, Fjäll (F) - Har betydelse, Jordbrukslandskap (J) - Har betydelse;VU;D1
100082;57851;Milvus milvus;röd glada;Art;407315;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse, Våtmark (V) - Har betydelse;LC;
103060;57853;Milvus migrans;brun glada;Art;33317;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse, Våtmark (V) - Har betydelse;EN;D
100067;57860;Haliaeetus albicilla;havsörn;Art;892531;Brackvatten (B) - Stor betydelse, Havsstrand (H) - Stor betydelse, Skog (S) - Stor betydelse, Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse, Marin miljö (M) - Har betydelse;LC;
102110;57864;Buteo lagopus;fjällvråk;Art;337640;Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Våtmark (V) - Har betydelse;LC;
102119;57903;Jynx torquilla;göktyta;Art;159885;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;A2bc
100110;57906;Picus canus;gråspett;Art;85269;Skog (S) - Stor betydelse;LC;
102977;57908;Picus viridis;gröngöling;Art;456945;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
100049;57911;Dryocopus martius;spillkråka;Art;421240;Skog (S) - Stor betydelse;LC;
100109;57914;Picoides tridactylus;tretåig hackspett;Art;77725;Skog (S) - Stor betydelse;NT;C1
100046;57920;Dendrocopos leucotos;vitryggig hackspett;Art;347;Skog (S) - Stor betydelse;CR;D
100048;57927;Dryobates minor;mindre hackspett;Art;258476;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;A2abc
102611;57942;Falco columbarius;stenfalk;Art;133139;Fjäll (F) - Stor betydelse, Skog (S) - Stor betydelse, Havsstrand (H) - Har betydelse, Jordbrukslandskap (J) - Har betydelse;LC;
100054;57947;Falco peregrinus;pilgrimsfalk;Art;184292;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse, Havsstrand (H) - Har betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;VU;A4abe
100094;57979;Oriolus oriolus;sommargylling;Art;16734;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;EN;D
102626;58000;Lanius collurio;törnskata;Art;266992;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;LC;
103031;58018;Perisoreus infaustus;lavskrika;Art;55255;Skog (S) - Stor betydelse;NT;A2abce
100090;58028;Nucifraga caryocatactes;nötkråka;Art;145473;Skog (S) - Stor betydelse, Urban miljö (U) - Stor betydelse;NT;A2abc
103020;58071;Poecile palustris;entita;Art;405695;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;A2abc
103021;58073;Poecile montanus;talltita;Art;337503;Skog (S) - Stor betydelse;NT;A2abc
103022;58075;Poecile cinctus;lappmes;Art;11764;Skog (S) - Stor betydelse;NT;A2abc
102623;58088;Lullula arborea;trädlärka;Art;138320;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
205963;58213;Phylloscopus collybita abietinus;nordlig gransångare;Underart;13127;Skog (S) - Har betydelse;NE;
100108;58220;Phylloscopus trochiloides;lundsångare;Art;7173;Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;D1
103016;58284;Regulus ignicapilla;brandkronad kungsfågel;Art;17981;Skog (S) - Stor betydelse;LC;
100058;58394;Ficedula parva;mindre flugsnappare;Art;41686;Skog (S) - Stor betydelse;LC;
102625;58397;Ficedula albicollis;halsbandsflugsnappare;Art;140895;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Stor betydelse;LC;
